canton_code,canton_name,noga_division,noga_label,year,etablissements,emplois,emplois_eq_plein_temps
3,"Luzern",15,"15 Industrie du cuir et de la chaussure",2023,13,42,28
3,"Luzern",16,"16 Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie",2023,368,3738,3379
3,"Luzern",17,"17 Industrie du papier et du carton",2023,10,557,530
3,"Luzern",18,"18 Imprimerie et reproduction d'enregistrements",2023,83,784,634
3,"Luzern",19,"19 Cokéfaction et raffinage",2023,0,0,0
3,"Luzern",20,"20 Industrie chimique",2023,48,1204,1099
3,"Luzern",21,"21 Industrie pharmaceutique",2023,9,1343,1244
3,"Luzern",22,"22 Fabrication de produits en caoutchouc et en plastique",2023,35,1022,933
3,"Luzern",23,"23 Fabrication d'autres produits minéraux non métalliques",2023,67,1206,1103
3,"Luzern",24,"24 Métallurgie",2023,5,1068,1029
3,"Luzern",25,"25 Fabrication de produits métalliques, à l'exception des machines et des équipements",2023,289,3658,3259
3,"Luzern",26,"26 Fabrication de produits informatiques, électroniques et optiques",2023,45,2096,1952
3,"Luzern",27,"27 Fabrication d'équipements électriques",2023,46,1646,1516
3,"Luzern",28,"28 Fabrication de machines et équipements n.c.a.",2023,119,5774,5405
3,"Luzern",29,"29 Industrie automobile",2023,15,265,243
3,"Luzern",30,"30 Fabrication d'autres matériels de transport",2023,11,416,395
3,"Luzern",31,"31 Fabrication de meubles",2023,51,800,729
3,"Luzern",32,"32 Autres industries manufacturières",2023,171,1929,1715
3,"Luzern",33,"33 Réparation et installation de machines et d'équipements",2023,170,1757,1611
3,"Luzern",35,"35 Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2023,50,736,631
3,"Luzern",36,"36 Captage, traitement et distribution d'eau",2023,47,488,372
3,"Luzern",37,"37 Collecte et traitement des eaux usées",2023,19,174,148
3,"Luzern",38,"38 Collecte, traitement et élimination des déchets, récupération",2023,52,690,602
3,"Luzern",39,"39 Dépollution et autres services de gestion des déchets",2023,0,0,0
3,"Luzern",41,"41 Construction de bâtiments",2023,421,5259,4842
3,"Luzern",42,"42 Génie civil",2023,71,1155,1072
3,"Luzern",43,"43 Travaux de construction spécialisés",2023,1993,14440,12926
3,"Luzern",45,"45 Commerce et réparation d'automobiles et de motocycles",2023,886,5296,4645
