source_scheme,source_code,target_scheme,target_code,relation,source_id
NACE_2.0,2362,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
NACE_2.0,2363,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
NACE_2.0,2364,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
NACE_2.0,2365,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
NACE_2.0,2369,ISIC_4,2395,closeMatch,eurostat-nace2-isic4
NACE_2.0,237,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2370,ISIC_4,2396,closeMatch,eurostat-nace2-isic4
NACE_2.0,239,ISIC_4,239,closeMatch,eurostat-nace2-isic4
NACE_2.0,2391,ISIC_4,2399,closeMatch,eurostat-nace2-isic4
NACE_2.0,2399,ISIC_4,2399,closeMatch,eurostat-nace2-isic4
NACE_2.0,24,ISIC_4,24,closeMatch,eurostat-nace2-isic4
NACE_2.0,241,ISIC_4,241,closeMatch,eurostat-nace2-isic4
NACE_2.0,2410,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,242,ISIC_4,241,closeMatch,eurostat-nace2-isic4
NACE_2.0,2420,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,243,ISIC_4,241,closeMatch,eurostat-nace2-isic4
NACE_2.0,2431,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,2432,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,2433,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,2434,ISIC_4,2410,closeMatch,eurostat-nace2-isic4
NACE_2.0,244,ISIC_4,242,closeMatch,eurostat-nace2-isic4
NACE_2.0,2441,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,2442,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,2443,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,2444,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,2445,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,2446,ISIC_4,2420,closeMatch,eurostat-nace2-isic4
NACE_2.0,245,ISIC_4,243,closeMatch,eurostat-nace2-isic4
NACE_2.0,2451,ISIC_4,2431,closeMatch,eurostat-nace2-isic4
NACE_2.0,2452,ISIC_4,2431,closeMatch,eurostat-nace2-isic4
NACE_2.0,2453,ISIC_4,2432,closeMatch,eurostat-nace2-isic4
NACE_2.0,2454,ISIC_4,2432,closeMatch,eurostat-nace2-isic4
NACE_2.0,25,ISIC_4,25,closeMatch,eurostat-nace2-isic4
NACE_2.0,251,ISIC_4,251,closeMatch,eurostat-nace2-isic4
NACE_2.0,2511,ISIC_4,2511,closeMatch,eurostat-nace2-isic4
NACE_2.0,2512,ISIC_4,2511,closeMatch,eurostat-nace2-isic4
NACE_2.0,252,ISIC_4,251,closeMatch,eurostat-nace2-isic4
NACE_2.0,2521,ISIC_4,2512,closeMatch,eurostat-nace2-isic4
NACE_2.0,2529,ISIC_4,2512,closeMatch,eurostat-nace2-isic4
NACE_2.0,253,ISIC_4,251,closeMatch,eurostat-nace2-isic4
NACE_2.0,2530,ISIC_4,2513,closeMatch,eurostat-nace2-isic4
NACE_2.0,254,ISIC_4,252,closeMatch,eurostat-nace2-isic4
NACE_2.0,2540,ISIC_4,2520,closeMatch,eurostat-nace2-isic4
NACE_2.0,255,ISIC_4,259,closeMatch,eurostat-nace2-isic4
NACE_2.0,2550,ISIC_4,2591,closeMatch,eurostat-nace2-isic4
NACE_2.0,256,ISIC_4,259,closeMatch,eurostat-nace2-isic4
NACE_2.0,2561,ISIC_4,2592,closeMatch,eurostat-nace2-isic4
NACE_2.0,2562,ISIC_4,2592,closeMatch,eurostat-nace2-isic4
NACE_2.0,257,ISIC_4,259,closeMatch,eurostat-nace2-isic4
NACE_2.0,2571,ISIC_4,2593,closeMatch,eurostat-nace2-isic4
NACE_2.0,2572,ISIC_4,2593,closeMatch,eurostat-nace2-isic4
NACE_2.0,2573,ISIC_4,2593,closeMatch,eurostat-nace2-isic4
NACE_2.0,259,ISIC_4,259,closeMatch,eurostat-nace2-isic4
NACE_2.0,2591,ISIC_4,2599,closeMatch,eurostat-nace2-isic4
NACE_2.0,2592,ISIC_4,2599,closeMatch,eurostat-nace2-isic4
NACE_2.0,2593,ISIC_4,2599,closeMatch,eurostat-nace2-isic4
NACE_2.0,2594,ISIC_4,2599,closeMatch,eurostat-nace2-isic4
NACE_2.0,2599,ISIC_4,2599,closeMatch,eurostat-nace2-isic4
NACE_2.0,26,ISIC_4,26,closeMatch,eurostat-nace2-isic4
NACE_2.0,261,ISIC_4,261,closeMatch,eurostat-nace2-isic4
NACE_2.0,2611,ISIC_4,2610,closeMatch,eurostat-nace2-isic4
NACE_2.0,2612,ISIC_4,2610,closeMatch,eurostat-nace2-isic4
NACE_2.0,262,ISIC_4,262,closeMatch,eurostat-nace2-isic4
NACE_2.0,2620,ISIC_4,2620,closeMatch,eurostat-nace2-isic4
NACE_2.0,263,ISIC_4,263,closeMatch,eurostat-nace2-isic4
NACE_2.0,2630,ISIC_4,2630,closeMatch,eurostat-nace2-isic4
NACE_2.0,264,ISIC_4,264,closeMatch,eurostat-nace2-isic4
NACE_2.0,2640,ISIC_4,2640,closeMatch,eurostat-nace2-isic4
NACE_2.0,265,ISIC_4,265,closeMatch,eurostat-nace2-isic4
NACE_2.0,2651,ISIC_4,2651,closeMatch,eurostat-nace2-isic4
NACE_2.0,2652,ISIC_4,2652,closeMatch,eurostat-nace2-isic4
NACE_2.0,266,ISIC_4,266,closeMatch,eurostat-nace2-isic4
NACE_2.0,2660,ISIC_4,2660,closeMatch,eurostat-nace2-isic4
NACE_2.0,267,ISIC_4,267,closeMatch,eurostat-nace2-isic4
NACE_2.0,2670,ISIC_4,2670,closeMatch,eurostat-nace2-isic4
NACE_2.0,268,ISIC_4,268,closeMatch,eurostat-nace2-isic4
NACE_2.0,2680,ISIC_4,2680,closeMatch,eurostat-nace2-isic4
NACE_2.0,27,ISIC_4,27,closeMatch,eurostat-nace2-isic4
NACE_2.0,271,ISIC_4,271,closeMatch,eurostat-nace2-isic4
NACE_2.0,2711,ISIC_4,2710,closeMatch,eurostat-nace2-isic4
NACE_2.0,2712,ISIC_4,2710,closeMatch,eurostat-nace2-isic4
NACE_2.0,272,ISIC_4,272,closeMatch,eurostat-nace2-isic4
NACE_2.0,2720,ISIC_4,2720,closeMatch,eurostat-nace2-isic4
NACE_2.0,273,ISIC_4,273,closeMatch,eurostat-nace2-isic4
NACE_2.0,2731,ISIC_4,2731,closeMatch,eurostat-nace2-isic4
NACE_2.0,2732,ISIC_4,2732,closeMatch,eurostat-nace2-isic4
NACE_2.0,2733,ISIC_4,2733,closeMatch,eurostat-nace2-isic4
NACE_2.0,274,ISIC_4,274,closeMatch,eurostat-nace2-isic4
NACE_2.0,2740,ISIC_4,2740,closeMatch,eurostat-nace2-isic4
NACE_2.0,275,ISIC_4,275,closeMatch,eurostat-nace2-isic4
NACE_2.0,2751,ISIC_4,2750,closeMatch,eurostat-nace2-isic4
NACE_2.0,2752,ISIC_4,2750,closeMatch,eurostat-nace2-isic4
NACE_2.0,279,ISIC_4,279,closeMatch,eurostat-nace2-isic4
NACE_2.0,2790,ISIC_4,2790,closeMatch,eurostat-nace2-isic4
NACE_2.0,28,ISIC_4,28,closeMatch,eurostat-nace2-isic4
