name,country,date_added,category,source_url,source_list,warning_type,additional_info
Swiss Market Invest / swiss-market.org,,2025-07-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/swiss-market-invest--swiss-market-org/,finma-warnings,unauthorized_provider,swiss-market-invest--swiss-market-org
aroma-finanz.com,,2025-07-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/aroma-finanz-com/,finma-warnings,unauthorized_provider,aroma-finanz-com
StateFunds / statefunds.com / statefunds.vip,,2025-07-30,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/statefunds-statefunds-com/,finma-warnings,unauthorized_provider,statefunds-statefunds-com
Render-VIP,,2025-07-29,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/render-vip/,finma-warnings,unauthorized_provider,render-vip
SWISS GLOBAL BANK,,2025-07-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/swiss-global-bank/,finma-warnings,unauthorized_provider,swiss-global-bank
EAST BANQUE DE COMMERCE,,2025-07-28,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/east-banque-de-commerce/,finma-warnings,unauthorized_provider,east-banque-de-commerce
Balfour Capital Group / balfourcapitalgroup.com,,2025-07-24,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/balfour-capital-group---balfourcapitalgroup_com/,finma-warnings,unauthorized_provider,balfour-capital-group---balfourcapitalgroup_com
AlfaFXPro AG / alfafxpro.com,,2025-07-22,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/alfafxpro-ag-alfafxpro-com/,finma-warnings,unauthorized_provider,alfafxpro-ag-alfafxpro-com
Digitale Börse Management AG / dbm.ag,,2025-07-22,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/dbm-ag/,finma-warnings,unauthorized_provider,dbm-ag
VYZORG CAPITAL / vyzorg.com,,2025-07-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/vyzorg-capital---vyzorg_com/,finma-warnings,unauthorized_provider,vyzorg-capital---vyzorg_com
subsidium-ag.com,,2025-07-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/subsidium-ag_com/,finma-warnings,unauthorized_provider,subsidium-ag_com
Ipo Dynamics / ipodynamics.com,,2025-07-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/ipo-dynamics---ipodynamics_com/,finma-warnings,unauthorized_provider,ipo-dynamics---ipodynamics_com
RJB / rjjbs.com,,2025-07-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/rjb---rjjbs_com/,finma-warnings,unauthorized_provider,rjb---rjjbs_com
dumont-fin.com,,2025-07-21,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/dumont-fin_com/,finma-warnings,unauthorized_provider,dumont-fin_com
Institution Bancaire NATIONAL INVESTMENT BANK / nationalinvestbk.com,,2025-07-18,Not entered in commercial register,https://www.finma.ch/en/finma-public/warnungen/warning-list/institution-bancaire-national-investment-bank---nationalinvestbk_com/,finma-warnings,unauthorized_provider,institution-bancaire-national-investment-bank---nationalinvestbk_com
