entity_type,name,uid,lei,licence_type,licence_type_de,licence_type_fr,licence_type_it,licence_date,status,canton,city,address,source_list,source_url,is_warning_listed
asset_manager_collective,PK Assets AG,CHE-113.664.871,,Manager of collective assets,Verwalter von Kollektivvermögen,Gestionnaire de fortune collective,Gestori di patrimoni collettivi,,,,Wilen b. Wollerau,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,Principal Vermögensverwaltung AG,CHE-115.816.577,,Portfolio manager,Vermögensverwalter,gestionnaire de fortune,Gestore patrimoniale,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_collective,Bellecapital International AG,CHE-292.416.993,,Manager of collective assets,Verwalter von Kollektivvermögen,Gestionnaire de fortune collective,Gestori di patrimoni collettivi,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,CFG - Compagnie Financière Genevoise 1855 SA,CHE-114.128.575,,Portfolio manager,Vermögensverwalter,gestionnaire de fortune,Gestore patrimoniale,,,,Genève,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,PraxisIFM Trustees SA,CHE-114.403.161,,Trustee,Trustee,Trustee,Trustee,,,,Genève,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,Vierny Partners SA,CHE-114.988.081,,Portfolio manager,Vermögensverwalter,gestionnaire de fortune,Gestore patrimoniale,,,,Genève,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,AVIDES SOCIÉTÉ SA,CHE-262.376.892,,Portfolio manager,Vermögensverwalter,gestionnaire de fortune,Gestore patrimoniale,,,,Genthod,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_collective,Alias Partners SA,CHE-107.755.152,,Manager of collective assets,Verwalter von Kollektivvermögen,Gestionnaire de fortune collective,Gestori di patrimoni collettivi,,,,Genève,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,Glaux AG,CHE-108.057.688,,Portfolio manager,Vermögensverwalter,gestionnaire de fortune,Gestore patrimoniale,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
asset_manager_individual,Huber Partners AG,CHE-113.193.498,,Trustee,Trustee,Trustee,Trustee,,,,Zürich,,finma-uid-csv,https://www.finma.ch/en/finma-public/authorised-institutions-individuals-and-products/,false
